timestamp,frame,face_detected,recentering,cx,cy,target_yaw_deg,target_pitch_deg,commanded_yaw_deg,commanded_pitch_deg
1787843790.6481178,230,0,0,,,,,-20.28237224555971,7.999957591981826
1787843790.714587,231,1,0,0.679591715335846,0.3627554476261139,-21.766400514354306,7.999957591981826,-21.766400514354306,7.999957591981826
1787843790.7843275,232,1,0,0.679591715335846,0.365816593170166,-21.766400514354306,7.999957591981826,-21.766400514354306,7.999957591981826
1787843790.8458502,233,0,0,,,,,-21.766400514354306,7.999957591981826
1787843790.9119208,234,0,0,,,,,-21.766400514354306,7.999957591981826
1787843790.985135,235,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.0481331,236,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.11304,237,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.1815186,238,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.2475498,239,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.314633,240,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.3786297,241,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.4476838,242,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.5156121,243,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.5811374,244,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.6467957,245,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.716335,246,0,0,,,,,-21.766400514354306,7.999957591981826
1787843791.7788415,247,1,0,0.6918362975120544,0.375,-23.250436007193553,7.94995785703194,-23.250436007193553,7.94995785703194
1787843791.8491426,248,0,0,,,,,-23.250436007193553,7.94995785703194
1787843791.9112551,249,1,0,0.670408308506012,0.365816593170166,-20.653377506747194,7.999957591981826,-20.653377506747194,7.999957591981826
1787843791.9844515,250,0,0,,,,,-20.653377506747194,7.999957591981826
1787843792.0470202,251,0,0,,,,,-20.653377506747194,7.999957591981826
1787843792.1123884,252,0,0,,,,,-20.653377506747194,7.999957591981826
1787843792.1801653,253,0,0,,,,,-20.653377506747194,7.999957591981826
1787843792.2468011,254,1,0,0.6071419715881348,0.32806113362312317,-12.98553811974996,7.999957591981826,-15.653377506747193,7.999957591981826
